NOME_BARRAGEM_MINERACAO,NOME_DO_EMPREENDEDOR,CPF_CNPJ,LATITUDE,LONGITUDE,POSICIONAMENTO,UF,MUNICIPIO,MINERIO_PRINCIPAL,ALTURA_ATUAL_metros,VOLUME_ATUAL_m3,CATEGORIA_DE_RISCO,DANO_POTENCIAL_ASSOCIADO,CLASSE,INSERIDA_NA_PNSB
0-1,Mineração Taboca S.a.,34.019.992/0001-10,"-00º44'00,100""","-60º08'18,200""",Sul do Equador,AM,PRESIDENTE FIGUEIREDO,Minério de Estanho Primário,22.00,"27,700,000.00",Baixa,Média,C,Sim
103 (Cruz),Mineração Taboca S.a.,34.019.992/0001-10,"-00º47'08,600""","-60º08'30,900""",Sul do Equador,AM,PRESIDENTE FIGUEIREDO,Minério de Estanho Primário,10.30,"924,000.00",Baixa,Média,C,Sim
111 (Índio),Mineração Taboca S.a.,34.019.992/0001-10,"-00º47'22,800""","-60º08'39,400""",Sul do Equador,AM,PRESIDENTE FIGUEIREDO,Minério de Estanho Primário,5.00,"48,873.00",Baixa,Média,C,Sim
158 (A-1),Mineração Taboca S.a.,34.019.992/0001-10,"-00º44'16,900""","-60º04'44,100""",Sul do Equador,AM,PRESIDENTE FIGUEIREDO,Minério de Estanho Primário,30.00,"53,380,000.00",Baixa,Alta,B,Sim
161 (A-2),Mineração Taboca S.a.,34.019.992/0001-10,"-00º43'56,233""","-60º04'08,396""",Sul do Equador,AM,PRESIDENTE FIGUEIREDO,Minério de Estanho Primário,22.00,"1,018,054.00",Baixa,Média,C,Sim
444 (A-3),Mineração Taboca S.a.,34.019.992/0001-10,"-00º44'18,326""","-60º04'33,114""",Sul do Equador,AM,PRESIDENTE FIGUEIREDO,Minério de Estanho Primário,14.70,"886,241.00",Baixa,Média,C,Sim
81-1,Mineração Taboca S.a.,34.019.992/0001-10,"-00º44'35,500""","-60º12'05,100""",Sul do Equador,AM,PRESIDENTE FIGUEIREDO,Minério de Estanho Primário,4.00,"75,522.00",Baixa,Média,C,Sim
Pau D'Arco,Mineração Taboca S.a.,34.019.992/0001-10,"-00º45'23,673""","-60º05'16,904""",Sul do Equador,AM,PRESIDENTE FIGUEIREDO,Minério de Estanho Primário,18.00,"52,800.00",Baixa,Média,C,Sim
Barragem da Cava,Cadam S.a.,04.788.980/0001-90,"-00º53'51,673""","-52º22'44,295""",Sul do Equador,AP,VITÓRIA DO JARI,Caulim,25.00,"1,755,555.00",Baixa,Média,C,Sim
Mario Cruz,Zamin Amapá Mineração S.a.,06.030.747/0001-79,"00º48'03,009""","-51º52'28,293""",Norte do Equador,AP,PEDRA BRANCA DO AMAPARI,Itabirito,28.00,"25,366,731.00",Média,Média,C,Sim
North Mill Pond,Beadell Brasil Ltda,05.642.709/0001-04,"00º51'38,200""","-51º43'42,000""",Norte do Equador,AP,PEDRA BRANCA DO AMAPARI,Minério de Ouro Primário,27.00,"11,002,505.00",Baixa,Alta,B,Sim
TAP D,Beadell Brasil Ltda,05.642.709/0001-04,"00º50'27,000""","-51º53'25,000""",Norte do Equador,AP,PEDRA BRANCA DO AMAPARI,Minério de Ouro Primário,36.00,"6,280,000.00",Baixa,Alta,B,Sim
VILA NOVA,Unamgen Mineração e Metalurgia S.a.,42.593.269/0001-79,"00º24'06,026""","-51º45'28,112""",Norte do Equador,AP,MAZAGÃO,Minério de Ferro,15.50,"440,300.00",Baixa,Baixa,E,Sim
Barragem 01,Samaca Ferros Ltda,16.682.218/0001-03,"-15º46'38,590""","-40º19'20,640""",Sul do Equador,BA,MAIQUINIQUE,Areia,12.00,"348,370.00",Média,Média,C,Sim
Barragem 02,Samaca Ferros Ltda,16.682.218/0001-03,"-15º46'42,200""","-40º19'04,300""",Sul do Equador,BA,MAIQUINIQUE,Areia,19.00,"1,438,806.00",Média,Baixa,D,Sim
BARRAGEM DE FLOTAÇÃO,Santa Luz Desenvolvimento Mineral Ltda,22.103.965/0001-42,"-11º00'12,400""","-39º17'13,300""",Sul do Equador,BA,SANTALUZ,Minério de Ouro Primário,25.00,"1,403,849.00",Baixa,Alta,B,Sim
BARRAGEM DE LIXIVIAÇÃO,Santa Luz Desenvolvimento Mineral Ltda,22.103.965/0001-42,"-11º00'13,100""","-39º18'03,000""",Sul do Equador,BA,SANTALUZ,Minério de Ouro Primário,22.00,"207,365.00",Baixa,Alta,B,Sim
